match_type,glob_feat0,len_bin,topology,mix_mode,row_i,row_j,overlap,chem_profile_id_i,chem_profile_id_j,chain_len_i,chain_len_j
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,237,0.5,0.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,262,0.3999999761581421,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,271,0.3999999761581421,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,285,0.3999999761581421,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,409,0.4333333373069763,0.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,553,0.3999999761581421,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,133,1016,0.4333333373069763,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,147,155,0.3999999761581421,1.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,147,236,0.3999999761581421,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,147,271,0.3999999165534973,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,147,285,0.3999999761581421,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,147,553,0.4333333373069763,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,147,1016,0.5333333015441895,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,155,236,0.5666666030883789,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,155,237,0.3999999761581421,0.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,155,262,0.43333327770233154,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,155,271,0.3999999761581421,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,155,285,0.40000003576278687,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,155,409,0.4333333373069763,0.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,155,553,0.46666663885116577,0.0,2.0,30,30
