match_type,glob_feat0,chain_len,row_i,row_j,overlap,topology_i,topology_j,ordering_i,ordering_j
chemistry_matched_structure_variation,300.0,40,52,458,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,52,574,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,52,670,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,52,712,1.0,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,52,757,0.949999988079071,linear,star,random,block
chemistry_matched_structure_variation,300.0,40,54,124,1.0,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,54,210,0.949999988079071,cyclic,linear,alternating,alternating
chemistry_matched_structure_variation,300.0,40,54,268,0.949999988079071,cyclic,linear,alternating,alternating
chemistry_matched_structure_variation,300.0,40,54,290,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,54,363,0.949999988079071,cyclic,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,54,481,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,54,493,1.0,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,54,502,0.949999988079071,cyclic,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,54,809,0.949999988079071,cyclic,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,80,173,1.0,cyclic,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,80,223,0.949999988079071,cyclic,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,80,449,1.0,cyclic,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,82,278,0.949999988079071,cyclic,linear,random,random
chemistry_matched_structure_variation,300.0,40,82,511,1.0,cyclic,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,82,579,1.0,cyclic,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,82,591,1.0,cyclic,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,82,931,0.949999988079071,cyclic,linear,random,block
chemistry_matched_structure_variation,300.0,40,82,1060,0.949999988079071,cyclic,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,85,156,0.949999988079071,cyclic,linear,alternating,alternating
chemistry_matched_structure_variation,300.0,40,85,249,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,85,344,0.949999988079071,cyclic,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,85,376,0.949999988079071,cyclic,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,85,442,0.949999988079071,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,85,458,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,85,574,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,85,670,1.0,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,85,712,0.949999988079071,cyclic,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,117,1011,0.949999988079071,star,linear,random,block
chemistry_matched_structure_variation,300.0,40,124,210,0.949999988079071,cyclic,linear,block,alternating
chemistry_matched_structure_variation,300.0,40,124,268,0.949999988079071,cyclic,linear,block,alternating
chemistry_matched_structure_variation,300.0,40,124,290,1.0,cyclic,cyclic,block,random
chemistry_matched_structure_variation,300.0,40,124,363,0.949999988079071,cyclic,linear,block,random
chemistry_matched_structure_variation,300.0,40,124,481,1.0,cyclic,cyclic,block,random
chemistry_matched_structure_variation,300.0,40,124,502,0.949999988079071,cyclic,linear,block,block
chemistry_matched_structure_variation,300.0,40,124,809,0.949999988079071,cyclic,linear,block,random
