dataset_row,temperature_K,domain,sample_id,topology,Index,archive_file,size_bytes,sha256,n_atoms,sum_charge,min_charge,max_charge
63,300,300K_prod400,comb_uid000170_idx107_rg1_pl0_random__0d22f80d4c8d,comb,107,300K_prod400/row_0063__comb_uid000170_idx107_rg1_pl0_random__0d22f80d4c8d.data,345762,1e85ba3fa8ae62eff87ccc34561ccdc2985b914e07dcdb242e43ffe61e4fb9f8,988,1.8500000030508001e-06,-0.50925533,0.71348367
64,300,300K_orthogonal800,branch_orth800_uid001432_sk19_rg2_pl1_block__cd8d5b9679ab,branch,19,300K_orthogonal800/row_0064__branch_orth800_uid001432_sk19_rg2_pl1_block__cd8d5b9679ab.data,332571,819a5209f2e2edfce3bc5ab999acc0ffd9e21f404eba8f67a694740c0c194032,908,4.440892098500626e-16,-0.549558,1.294207
65,300,300K_orthogonal800,cyclic_orth800_uid000556_sk6_rg0_pl1_alternating__88d58f7af2d1,cyclic,6,300K_orthogonal800/row_0065__cyclic_orth800_uid000556_sk6_rg0_pl1_alternating__88d58f7af2d1.data,330543,5412707b7e915b308fe2f756b0d5d659a5d47c4900567203ea20d3d39f97cef3,937,2.914335439641036e-15,-0.572932,1.284476
66,300,300K_orthogonal800,star_orth800_uid001070_sk9_rg1_pl0_alternating__635a9cb733eb,star,9,300K_orthogonal800/row_0066__star_orth800_uid001070_sk9_rg1_pl0_alternating__635a9cb733eb.data,352727,5b12e1c974e58318cf53d730753a93912f44fd0db92d7c39743c1274b7cea5aa,960,1.8041124150158794e-15,-0.581266,1.28981
67,300,300K_orthogonal800,star_orth800_uid000908_sk8_rg1_pl1_block__0152ab309ac2,star,8,300K_orthogonal800/row_0067__star_orth800_uid000908_sk8_rg1_pl1_block__0152ab309ac2.data,395537,bfb02bdc6593954ce97d4a4d0757a1c6d672740a33f6fe175fc3eb945e599de8,1089,-8.326672684688674e-17,-1.09015,0.595116
68,300,300K_prod400,linear_uid000090_idx5_rg2_pl0_gradient__566c1c6deee0,linear,5,300K_prod400/row_0068__linear_uid000090_idx5_rg2_pl0_gradient__566c1c6deee0.data,367960,6754aece7c2a3e9e7eacbf04b7ef758afc2e24715ebdab848912e46cd96b5605,1066,6.499999953557545e-07,-0.53377727,0.22078173
69,300,300K_orthogonal800,star_orth800_uid001203_sk13_rg0_pl1_random__47e57fc758b8,star,13,300K_orthogonal800/row_0069__star_orth800_uid001203_sk13_rg0_pl1_random__47e57fc758b8.data,304016,13c1fa54a1ac83e70e9617d2e04b7efb71588ef75715ddf4f2db537cf19f6e19,925,2.55351295663786e-15,-3.124198,4.124479
70,300,300K_orthogonal800,star_orth800_uid000911_sk13_rg1_pl2_block__c4057c5c1ccd,star,13,300K_orthogonal800/row_0070__star_orth800_uid000911_sk13_rg1_pl2_block__c4057c5c1ccd.data,323175,e48ce501536eb345e036666321a3558b30ec32b3e6fa48bd67e4fd5eb42a927a,927,-3.0531133177191805e-16,-1.14728,0.618363
71,300,300K_orthogonal800,star_orth800_uid000924_sk13_rg1_pl2_block__112553a1221c,star,13,300K_orthogonal800/row_0071__star_orth800_uid000924_sk13_rg1_pl2_block__112553a1221c.data,312717,5204a9e65a9d6755be25e1032eeeff114db4baa646bc9c7b63a13b44d2486df4,901,-3.3306690738754696e-16,-0.451368,0.505975
72,300,300K_orthogonal800,star_orth800_uid001206_sk8_rg1_pl0_random__84b48a26a3e4,star,8,300K_orthogonal800/row_0072__star_orth800_uid001206_sk8_rg1_pl0_random__84b48a26a3e4.data,362746,ae9cd24b998cabea8b90b08fdd07fffecf1af3eaccf4a525d0ab0aee7e05949f,988,3.191891195797325e-15,-0.581266,1.290574
73,300,300K_prod400,cyclic_uid000043_idx34_rg1_pl2_random__60f32f08479d,cyclic,34,300K_prod400/row_0073__cyclic_uid000043_idx34_rg1_pl2_random__60f32f08479d.data,356301,44c89bf37e14449dc098886ce7edb562385663006d25412ab79118413b4d7f4d,1005,-1.4999998554365845e-07,-0.52346027,0.70845153
