dataset_row,temperature_K,domain,sample_id,topology,Index,archive_file,size_bytes,sha256,n_atoms,sum_charge,min_charge,max_charge
478,300,300K_orthogonal800,linear_orth800_uid000181_sk2_rg1_pl0_alternating__98d07bc7dce2,linear,2,300K_orthogonal800/row_0478__linear_orth800_uid000181_sk2_rg1_pl0_alternating__98d07bc7dce2.data,362477,c6232d1c19fac8d358be3d60f599359b51d42b3dfd3d76172e65b99e05aca44c,1057,-5.329070518200751e-15,-0.475855,0.173151
479,300,300K_orthogonal800,star_orth800_uid001105_sk11_rg1_pl2_alternating__3b7993c76de9,star,11,300K_orthogonal800/row_0479__star_orth800_uid001105_sk11_rg1_pl2_alternating__3b7993c76de9.data,369940,290b2b792a6671eee0ae7c73ed473a49b35492f675be1c1c13bcdc00b185ecdb,1050,5.273559366969494e-16,-0.552702,1.267726
480,300,300K_orthogonal800,cyclic_orth800_uid000736_sk7_rg1_pl2_random__405a206d2eb8,cyclic,7,300K_orthogonal800/row_0480__cyclic_orth800_uid000736_sk7_rg1_pl2_random__405a206d2eb8.data,375606,e8cfa387dabd623d475f9c898f0c606e5a168fec7cc52d00cf0b4e4ab88e2033,1085,2.831068712794149e-15,-1.143413,1.29256
481,300,300K_orthogonal800,cyclic_orth800_uid000762_sk5_rg2_pl1_random__244414f73b12,cyclic,5,300K_orthogonal800/row_0481__cyclic_orth800_uid000762_sk5_rg2_pl1_random__244414f73b12.data,330119,0bffea0609ee75ba43c05172f33a97784374ddc219cd3f6add85cf3a3c009718,940,2.525757381022231e-15,-0.445702,0.50395
482,300,300K_prod400,cyclic_uid000233_idx36_rg0_pl1_gradient__2788f0a2a05f,cyclic,36,300K_prod400/row_0482__cyclic_uid000233_idx36_rg0_pl1_gradient__2788f0a2a05f.data,315797,26694ac29e1abc40d31cd7ef7a3f395cb967fc0dc3b71f74d77d6457e4bd3af9,949,7.499999954696523e-07,-0.40473377,0.17262267
483,300,300K_prod400,star_uid000195_idx58_rg1_pl2_random__f00aa8bf0eae,star,58,300K_prod400/row_0483__star_uid000195_idx58_rg1_pl2_random__f00aa8bf0eae.data,319869,824fd09882450242dc106c135114953f8334ecaf4d3c2a8320f036f31e595c97,951,2.119999991667676e-06,-0.52237532,0.21504768
484,300,300K_orthogonal800,star_orth800_uid000792_sk11_rg0_pl0_block__6dd229ae4583,star,11,300K_orthogonal800/row_0484__star_orth800_uid000792_sk11_rg0_pl0_block__6dd229ae4583.data,351595,ed40c625ef0693aba51dce522424bcf35a6e558e7e021ea92bf85a7cc638cbb7,1021,5.551115123125783e-17,-0.445702,0.507246
485,300,300K_orthogonal800,star_orth800_uid001261_sk12_rg1_pl2_random__d734d85cbe6b,star,12,300K_orthogonal800/row_0485__star_orth800_uid001261_sk12_rg1_pl2_random__d734d85cbe6b.data,329235,20c522e584352c2a259a62db789c71c2603d635033b2ded00834f39f1dcfe0fb,989,-9.71445146547012e-16,-0.394192,0.166782
486,300,300K_prod400,star_uid000215_idx53_rg1_pl1_junction_enriched__1a61660feafc,star,53,300K_prod400/row_0486__star_uid000215_idx53_rg1_pl1_junction_enriched__1a61660feafc.data,350699,ddc80999ae416a0100901c56fd73200e323e56ae371add4d9c64ba09534ae693,1036,1.7599999916906306e-06,-0.35497233,0.17262267
487,300,300K_prod400,linear_uid000192_idx20_rg2_pl0_block__e8394773fcdd,linear,20,300K_prod400/row_0487__linear_uid000192_idx20_rg2_pl0_block__e8394773fcdd.data,324576,290f9eff68fed01bc08ea19a18d6e64b99d4afc61908adf6be598e934e968bb4,958,6.999999994372619e-07,-1.11894688,0.57750081
488,300,300K_prod400,cyclic_uid000145_idx42_rg2_pl0_random__2819cf587b25,cyclic,42,300K_prod400/row_0488__cyclic_uid000145_idx42_rg2_pl0_random__2819cf587b25.data,374826,87508714cf8de02e63683b7387e87ca05a8a9baa1b03638faad46b73ae00d89a,1054,-3.3999999796141545e-07,-0.50664727,0.72407573
489,300,300K_orthogonal800,cyclic_orth800_uid000582_sk6_rg1_pl0_alternating__cdc586316001,cyclic,6,300K_orthogonal800/row_0489__cyclic_orth800_uid000582_sk6_rg1_pl0_alternating__cdc586316001.data,330491,1a414247cd67f6745667b363ff48262788152a5dc22afb968d687e0ce1ee1644,937,5.717648576819556e-15,-0.494873,0.187068
490,300,300K_orthogonal800,cyclic_orth800_uid000650_sk7_rg2_pl1_alternating__a6a5d7eabec0,cyclic,7,300K_orthogonal800/row_0490__cyclic_orth800_uid000650_sk7_rg2_pl1_alternating__a6a5d7eabec0.data,386030,9104283a89a05da309580bb78125fea9eea7b330f241c44ba2c60415d1eceb10,1085,8.326672684688674e-17,-0.480102,0.17387
491,300,300K_orthogonal800,star_orth800_uid000859_sk10_rg0_pl2_block__94a775338f42,star,10,300K_orthogonal800/row_0491__star_orth800_uid000859_sk10_rg0_pl2_block__94a775338f42.data,361243,4ad9393a4ceaebb8c495a1ac6f5b5106fcad19719df98ed4c5a57a48014e94fa,1048,9.71445146547012e-16,-0.465371,0.506196
492,300,300K_orthogonal800,linear_orth800_uid000347_sk1_rg1_pl1_random__ebe03e128bc8,linear,1,300K_orthogonal800/row_0492__linear_orth800_uid000347_sk1_rg1_pl1_random__ebe03e128bc8.data,322784,88d8ecaf0298883404b83db7c3e712b300168153cac10f6c36ddcab0f2b8c155,900,2.220446049250313e-16,-0.574285,1.296335
493,300,300K_orthogonal800,cyclic_orth800_uid000441_sk5_rg1_pl0_block__d980d46a6bc4,cyclic,5,300K_orthogonal800/row_0493__cyclic_orth800_uid000441_sk5_rg1_pl0_block__d980d46a6bc4.data,329702,4d4682464ba452ab595ad83c9d5d9e22d71f64371113f25fa1006c6d99e29d1b,940,7.216449660063518e-16,-0.445702,0.50395
494,300,300K_prod400,branch_uid000194_idx76_rg2_pl1_junction_enriched__69edb396ba09,branch,76,300K_prod400/row_0494__branch_uid000194_idx76_rg2_pl1_junction_enriched__69edb396ba09.data,333097,2b579823d2233b0fdc3411ff13e8ad8a34e2f36fbfd8b28d2d808c9705ce1e19,932,-7.599999989615913e-07,-0.38911315,0.18389706
495,300,300K_orthogonal800,star_orth800_uid001048_sk14_rg0_pl2_alternating__3c39bdcf8758,star,14,300K_orthogonal800/row_0495__star_orth800_uid001048_sk14_rg0_pl2_alternating__3c39bdcf8758.data,394144,016aea32e3deaab77a6dcc29960285f923a87ae463fd36b9b1281307aa9453b4,1098,-6.38378239159465e-16,-0.445777,0.464324
496,300,300K_prod400,star_uid000213_idx53_rg1_pl1_junction_enriched__50c376d1d0f8,star,53,300K_prod400/row_0496__star_uid000213_idx53_rg1_pl1_junction_enriched__50c376d1d0f8.data,346092,8492006ece9e61bdc7a034c80a992f78c25c97fc4a1c1acec8d9459b0c8f14c7,1025,2.429999990838372e-06,-0.50354181,0.71549819
497,300,300K_orthogonal800,star_orth800_uid000847_sk14_rg0_pl2_block__39a5fdc0ed87,star,14,300K_orthogonal800/row_0497__star_orth800_uid000847_sk14_rg0_pl2_block__39a5fdc0ed87.data,372127,59a546d9fb08336cce8dd848a95ccec2bdcaeba0c1424fa9e944165b78b4ba3b,1098,8.049116928532385e-16,-1.149176,0.619609
498,300,300K_orthogonal800,linear_orth800_uid000252_sk2_rg1_pl2_alternating__a5e76f5d3ba5,linear,2,300K_orthogonal800/row_0498__linear_orth800_uid000252_sk2_rg1_pl2_alternating__a5e76f5d3ba5.data,379126,6aeb03a589813e19d74fc652e4c2477d727edfd510bcee8e9191cd5dad85725f,1094,1.124100812432971e-14,-0.451005,0.45537
499,300,300K_prod400,star_uid000212_idx53_rg1_pl1_random__795cc1561aec,star,53,300K_prod400/row_0499__star_uid000212_idx53_rg1_pl1_random__795cc1561aec.data,343240,fa1e8e9882eadedfc29a3975f366f3ea45f3a2a37fe271d353004f2b0414e7a8,1013,2.709999991801215e-06,-0.50354181,0.71549819
500,300,300K_prod400,cyclic_uid000063_idx29_rg2_pl1_alternating__02cf6d78d948,cyclic,29,300K_prod400/row_0500__cyclic_uid000063_idx29_rg2_pl1_alternating__02cf6d78d948.data,349450,a34f7731d3265a8fc323578c0840aa4457165799d38658d4115e9c497879b58f,1056,-2.400000008340175e-06,-0.530867,0.415301
501,300,300K_orthogonal800,linear_orth800_uid000245_sk3_rg1_pl2_alternating__1473f2e6c42b,linear,3,300K_orthogonal800/row_0501__linear_orth800_uid000245_sk3_rg1_pl2_alternating__1473f2e6c42b.data,316843,0172428972b2dbba3797d5024296c326f4ec553204d9d800764498a915db1468,934,-1.1102230246251565e-16,-0.570759,1.289257
502,300,300K_orthogonal800,linear_orth800_uid000145_sk1_rg2_pl1_block__efcc624878b4,linear,1,300K_orthogonal800/row_0502__linear_orth800_uid000145_sk1_rg2_pl1_block__efcc624878b4.data,319729,68a8d7f54127fc127c390e61ed371019a2346c72f6680f23a4e0f12fcd8975cc,915,6.38378239159465e-16,-0.445702,0.498163
503,300,300K_prod400,comb_uid000449_idx100_rg1_pl1_random__1d7d7203a661,comb,100,300K_prod400/row_0503__comb_uid000449_idx100_rg1_pl1_random__1d7d7203a661.data,311914,60820c43fe425b5597df2e53b3254ad1239af21fb5658bc13aa90b2cd984db68,926,9.09999997245059e-07,-0.52042824,0.39786325
504,300,300K_orthogonal800,linear_orth800_uid000124_sk0_rg1_pl2_block__c540c08e2483,linear,0,300K_orthogonal800/row_0504__linear_orth800_uid000124_sk0_rg1_pl2_block__c540c08e2483.data,367025,bfe098e6ea48f5013a8ccb566f28fe2c24759ef25930f27801251f65dec5e217,1010,-4.440892098500626e-16,-0.405393,0.16858
505,300,300K_prod400,linear_uid000017_idx7_rg0_pl0_gradient__da1dd7b9eb22,linear,7,300K_prod400/row_0505__linear_uid000017_idx7_rg0_pl0_gradient__da1dd7b9eb22.data,324965,df3579e7ca8dfecb8a9e358f10a90c5c5cf3549eac26f59936772ae593b8dc35,964,2.6799999901239158e-06,-0.35497233,0.17262267
506,300,300K_prod400,cyclic_uid000017_idx34_rg0_pl1_random__f35e8cf5acd6,cyclic,34,300K_prod400/row_0506__cyclic_uid000017_idx34_rg0_pl1_random__f35e8cf5acd6.data,321205,54b0689c5fc431092645c45dc9d4b0f6f167fbc1e673db00587fa1559e3eaac2,936,1.1999999992573507e-06,-0.53617592,0.40136417
507,300,300K_orthogonal800,linear_orth800_uid000125_sk3_rg1_pl2_block__62313a6af88e,linear,3,300K_orthogonal800/row_0507__linear_orth800_uid000125_sk3_rg1_pl2_block__62313a6af88e.data,371759,87c249f065ba891a35592c63ab303fd2776fa6c85add51936eee36b359b4e588,1076,5.273559366969494e-16,-1.148626,0.613971
508,300,300K_orthogonal800,star_orth800_uid000827_sk8_rg0_pl1_block__d7667b8d1f15,star,8,300K_orthogonal800/row_0508__star_orth800_uid000827_sk8_rg0_pl1_block__d7667b8d1f15.data,365563,7841e775b1a1f6278928e8861fb1425ba3861a684ed87eb7083452f9f371a4a3,991,0.0,-0.583467,1.283593
509,300,300K_prod400,star_uid000105_idx66_rg1_pl1_random__18ef41a88711,star,66,300K_prod400/row_0509__star_uid000105_idx66_rg1_pl1_random__18ef41a88711.data,335973,c254001937cb623fe28acc62666da9fe2f1aec5a8eed8066eccdee3181da3ee4,961,-1.4199999986141965e-06,-0.45636753,0.19614347
510,300,300K_prod400,comb_uid000357_idx102_rg2_pl0_random__1554f90f8489,comb,102,300K_prod400/row_0510__comb_uid000357_idx102_rg2_pl0_random__1554f90f8489.data,334944,f22abb7bdfe88e48a633c5673baf261ab3d6364ef2418cbb816c2fcb8b1df762,952,-5.000000003752003e-07,-0.50974687,0.21635013
511,300,300K_orthogonal800,cyclic_orth800_uid000457_sk5_rg1_pl0_block__afb444a255cb,cyclic,5,300K_orthogonal800/row_0511__cyclic_orth800_uid000457_sk5_rg1_pl0_block__afb444a255cb.data,316093,8491c2fca34f2d7aaa0053a240d41ecf6bc1cdf597430e7dc93e90553f9427cf,940,7.993605777301127e-15,-3.124198,4.124479
512,300,300K_orthogonal800,linear_orth800_uid000129_sk0_rg2_pl1_block__61449de38c17,linear,0,300K_orthogonal800/row_0512__linear_orth800_uid000129_sk0_rg2_pl1_block__61449de38c17.data,341541,e79099836cb2c120c13496d5f9556d53c970f13d0fe8925be6f5583b40f98edb,924,1.2490009027033011e-15,-0.32825,0.168616
513,300,300K_orthogonal800,cyclic_orth800_uid000713_sk7_rg1_pl1_random__709102588fe6,cyclic,7,300K_orthogonal800/row_0513__cyclic_orth800_uid000713_sk7_rg1_pl1_random__709102588fe6.data,325413,81643c0a31272ba74785810ebf4b1c7a7a12e957537c0b3abb0d422ab6a76f4e,922,-2.220446049250313e-16,-1.152193,1.29256
514,300,300K_prod400,linear_uid000051_idx7_rg1_pl0_alternating__da1dd7b9eb22,linear,7,300K_prod400/row_0514__linear_uid000051_idx7_rg1_pl0_alternating__da1dd7b9eb22.data,324965,492fa8697ae3f33bdfa2a1c7ca2fe8cc4310df48937fb7a1455c7217a6bb500c,964,2.6799999901239158e-06,-0.35497233,0.17262267
515,300,300K_orthogonal800,linear_orth800_uid000389_sk3_rg2_pl1_random__fef7b220c4f8,linear,3,300K_orthogonal800/row_0515__linear_orth800_uid000389_sk3_rg2_pl1_random__fef7b220c4f8.data,379498,02ce1bf89d0a43fdd83689453ba0ed4766e2951c780f17626414713d225cd20b,1068,-1.4155343563970746e-15,-0.576245,1.290708
516,300,300K_prod400,comb_uid000204_idx107_rg2_pl2_junction_enriched__85d82d3e005b,comb,107,300K_prod400/row_0516__comb_uid000204_idx107_rg2_pl2_junction_enriched__85d82d3e005b.data,366521,c9bcbb8838a75a88354860fc67062f41cfcb110394e37f33696def7e4d1c3ee3,1076,2.0799999933540647e-06,-0.49396706,0.19829194
517,300,300K_orthogonal800,cyclic_orth800_uid000728_sk4_rg1_pl1_random__f0d95d7c75cc,cyclic,4,300K_orthogonal800/row_0517__cyclic_orth800_uid000728_sk4_rg1_pl1_random__f0d95d7c75cc.data,367452,6e7dc15a7c01d9a6327e9a26f527a2d524a1e810322ab4adbfb9fdca2f25ee2c,1003,-2.831068712794149e-15,-0.422176,0.443454
518,300,300K_orthogonal800,star_orth800_uid001181_sk11_rg0_pl1_random__698407dedf61,star,11,300K_orthogonal800/row_0518__star_orth800_uid001181_sk11_rg0_pl1_random__698407dedf61.data,338235,df73092febd2f4b8e0de1fb655cc83f074b0c1b10a3b299c8c85bf3d2dc0d111,987,3.552713678800501e-15,-0.451368,0.503364
519,300,300K_orthogonal800,linear_orth800_uid000257_sk3_rg2_pl1_alternating__dd5f51d64ffd,linear,3,300K_orthogonal800/row_0519__linear_orth800_uid000257_sk3_rg2_pl1_alternating__dd5f51d64ffd.data,380240,e7b1aed536a87069b80acff41467ee881af14b2b7600f8514684313551a502cf,1070,-5.551115123125783e-17,-0.480102,0.17387
520,300,300K_orthogonal800,cyclic_orth800_uid000676_sk5_rg0_pl1_random__544490d1498e,cyclic,5,300K_orthogonal800/row_0520__cyclic_orth800_uid000676_sk5_rg0_pl1_random__544490d1498e.data,316474,59119db942e860b7adceaab084b2f6983b7c38037ff9814542529982d53b9bad,940,5.551115123125783e-16,-3.124198,4.124479
521,300,300K_orthogonal800,linear_orth800_uid000362_sk0_rg1_pl2_random__229174f77c3c,linear,0,300K_orthogonal800/row_0521__linear_orth800_uid000362_sk0_rg1_pl2_random__229174f77c3c.data,366797,881ade75b55c61f666136d31ae7e92b3585396e850a47ff475c399beb9d441e0,1010,-6.106226635438361e-16,-0.406051,0.172678
522,300,300K_orthogonal800,cyclic_orth800_uid000460_sk4_rg1_pl1_block__8d710aa25fa6,cyclic,4,300K_orthogonal800/row_0522__cyclic_orth800_uid000460_sk4_rg1_pl1_block__8d710aa25fa6.data,343411,363559517b3f97fe6c8c3dfec4c31df58beaa06f356ff71431422491adb064c4,938,1.5543122344752192e-15,-1.152193,0.619436
523,300,300K_prod400,cyclic_uid000015_idx26_rg0_pl0_block__e59851ab27f7,cyclic,26,300K_prod400/row_0523__cyclic_uid000015_idx26_rg0_pl0_block__e59851ab27f7.data,350048,5a9b22c88dc4d73ae04eb1ffdb9ae3cae19725a36d9f9475bdb352db144d63d8,1014,7.799999954816172e-07,-0.53377727,0.22078173
524,300,300K_orthogonal800,linear_orth800_uid000354_sk2_rg1_pl2_random__0b86889c6f3e,linear,2,300K_orthogonal800/row_0524__linear_orth800_uid000354_sk2_rg1_pl2_random__0b86889c6f3e.data,363512,89cff81bd45f8afc9951876b44c9b86cfe186b42b56d8b65680d519267d4978b,1078,-3.608224830031759e-15,-1.145838,0.618385
525,300,300K_orthogonal800,linear_orth800_uid000076_sk1_rg1_pl0_block__9ea5eef51659,linear,1,300K_orthogonal800/row_0525__linear_orth800_uid000076_sk1_rg1_pl0_block__9ea5eef51659.data,385384,35a534a27777579db6bea7a79a7c390c489a670aa805e7b62a2691ca62c7449b,1097,-8.326672684688674e-16,-0.447018,0.503176
526,300,300K_prod400,star_uid000117_idx66_rg2_pl0_junction_enriched__5333e87ed414,star,66,300K_prod400/row_0526__star_uid000117_idx66_rg2_pl0_junction_enriched__5333e87ed414.data,333231,508e58b2352202a95be3d0512fd49092d35109428caf572037f4ba5558dfacea,957,7.800000098034943e-07,-0.5219432,0.7061288
527,300,300K_orthogonal800,linear_orth800_uid000396_sk2_rg2_pl1_random__f4a55be8823b,linear,2,300K_orthogonal800/row_0527__linear_orth800_uid000396_sk2_rg2_pl1_random__f4a55be8823b.data,369075,dc4e121176281c55cc7009f0c7621e56065c3bc0194ea6f9287a5331be1c4fc9,1070,-3.0531133177191805e-16,-0.313898,0.159487
528,300,300K_prod400,cyclic_uid000010_idx35_rg0_pl0_alternating__f54b828bed41,cyclic,35,300K_prod400/row_0528__cyclic_uid000010_idx35_rg0_pl0_alternating__f54b828bed41.data,345860,06ba1212066e687589ee45d4924a482b2ceb75fbaa7a9cc6fabbeb5a03b3f896,1032,3.4399999886691734e-06,-0.35497233,0.17262267
529,300,300K_orthogonal800,linear_orth800_uid000234_sk3_rg1_pl2_alternating__5c93a2afb83f,linear,3,300K_orthogonal800/row_0529__linear_orth800_uid000234_sk3_rg1_pl2_alternating__5c93a2afb83f.data,371765,19e2be10d79de52365b7f3a1ec90cd0893a9d49fe01661f186ef71f08d560d17,1076,3.3306690738754696e-16,-1.149452,0.616194
530,300,300K_prod400,comb_uid000185_idx107_rg2_pl0_random__9b231c8e1aee,comb,107,300K_prod400/row_0530__comb_uid000185_idx107_rg2_pl0_random__9b231c8e1aee.data,323979,30dd460adf2e7534607d8a252c7bd8305fc9e42ccfa02495fdd3397da8bd2c2b,910,1.149999994870532e-06,-1.117942,0.57750081
531,300,300K_orthogonal800,star_orth800_uid001034_sk11_rg0_pl1_alternating__34d96620e41f,star,11,300K_orthogonal800/row_0531__star_orth800_uid001034_sk11_rg0_pl1_alternating__34d96620e41f.data,349590,ff004501135aab02b0d8eb2bc093b02895db237d152ed0c3e41df6e6d5ccbe3f,999,-5.218048215738236e-15,-0.426948,0.446988
532,300,300K_orthogonal800,cyclic_orth800_uid000536_sk5_rg0_pl1_alternating__a109b9d6fd22,cyclic,5,300K_orthogonal800/row_0532__cyclic_orth800_uid000536_sk5_rg0_pl1_alternating__a109b9d6fd22.data,317763,a4f59ca9adb770b9ab65a5bf32ab747eb7a283211825ec0a35b6956ef44af9d5,900,7.438494264988549e-15,-1.138818,0.61578
533,300,300K_orthogonal800,linear_orth800_uid000264_sk1_rg2_pl1_alternating__54ac55356a1d,linear,1,300K_orthogonal800/row_0533__linear_orth800_uid000264_sk1_rg2_pl1_alternating__54ac55356a1d.data,356501,10f1d0509c966f7fafbf79241f66d6166997887a4f16ce8a2d0f51ee9ad2b8e6,1023,-8.354428260304303e-15,-0.408079,0.440585
534,300,300K_orthogonal800,branch_orth800_uid001469_sk19_rg0_pl1_alternating__62f4527a6e9d,branch,19,300K_orthogonal800/row_0534__branch_orth800_uid001469_sk19_rg0_pl1_alternating__62f4527a6e9d.data,331734,d49b42da45c7bb41895c546b4842664368e8d2bf2446c603f05211ff8ed9f0aa,924,1.8596235662471372e-15,-0.392777,0.172427
535,300,300K_orthogonal800,linear_orth800_uid000214_sk2_rg1_pl1_alternating__901494f20f2c,linear,2,300K_orthogonal800/row_0535__linear_orth800_uid000214_sk2_rg1_pl1_alternating__901494f20f2c.data,315061,4bd6d4e5be1b0a2982f18105661bacb77ea0f3f7b72c1628c9d41c054201c1ab,912,3.608224830031759e-16,-0.437773,0.504344
536,300,300K_prod400,star_uid000224_idx53_rg2_pl0_random__29b355fbe70e,star,53,300K_prod400/row_0536__star_uid000224_idx53_rg2_pl0_random__29b355fbe70e.data,341064,d4c8935a2bd33bd2bc4835028802b005e48f336c1ea84917f0168df14886fc43,1017,2.0199999904157995e-06,-0.39508273,0.17262267
537,300,300K_orthogonal800,linear_orth800_uid000144_sk3_rg2_pl1_block__55ffc939a3cc,linear,3,300K_orthogonal800/row_0537__linear_orth800_uid000144_sk3_rg2_pl1_block__55ffc939a3cc.data,384404,2e5f361db8be0aa06f87d82ecb0fc8c9e7fd237902ba867612de93bf84c4936f,1082,-2.7755575615628914e-16,-0.477162,0.176283
538,300,300K_orthogonal800,star_orth800_uid000988_sk10_rg2_pl2_block__ed27f2c23bfc,star,10,300K_orthogonal800/row_0538__star_orth800_uid000988_sk10_rg2_pl2_block__ed27f2c23bfc.data,307052,7fa2c3f15dae77394afa56e8f54c6b7c88502d204c7601ff6c188b3345c43870,914,-7.16093850883226e-15,-0.484162,0.168231
539,300,300K_orthogonal800,linear_orth800_uid000009_sk3_rg0_pl0_block__0cba08be2a63,linear,3,300K_orthogonal800/row_0539__linear_orth800_uid000009_sk3_rg0_pl0_block__0cba08be2a63.data,363602,a6b44743493e41744a887834fa0502c56992a629b6dde95b160b22d7996a3d86,1034,-1.3877787807814457e-16,-0.474173,0.174428
540,300,300K_prod400,cyclic_uid000132_idx31_rg0_pl2_gradient__d70b5e9d30a7,cyclic,31,300K_prod400/row_0540__cyclic_uid000132_idx31_rg0_pl2_gradient__d70b5e9d30a7.data,353838,95633918d80920bec3f6cf0b085eaf2ff931b6d647fa0290fa9300f2f9d06d49,1056,3.5199999884050204e-06,-0.35497233,0.17262267
541,300,300K_prod400,linear_uid000190_idx20_rg2_pl0_alternating__3ce02df818b8,linear,20,300K_prod400/row_0541__linear_uid000190_idx20_rg2_pl0_alternating__3ce02df818b8.data,325108,be89a23591162d230daee5288f3b16573d42d8732ada6b0f1a3f3ad3ae029a0e,943,-7.800000095259385e-07,-0.499133,0.205626
542,300,300K_prod400,cyclic_uid000039_idx26_rg1_pl0_alternating__368a1dbfccee,cyclic,26,300K_prod400/row_0542__cyclic_uid000039_idx26_rg1_pl0_alternating__368a1dbfccee.data,359234,374b8950b639653df8697b832c143c0e7f99397595533a4816c1b49dbad914a1,1040,-1.8200000002910333e-06,-0.35802317,0.16802483
543,300,300K_orthogonal800,linear_orth800_uid000167_sk3_rg0_pl1_alternating__260ada085557,linear,3,300K_orthogonal800/row_0543__linear_orth800_uid000167_sk3_rg0_pl1_alternating__260ada085557.data,317715,829a07db615045720dc369295b6a42f4118b187fd779997e3a58bb3700a14af1,912,7.743805596760467e-15,-0.571443,1.283276
544,300,300K_orthogonal800,cyclic_orth800_uid000557_sk6_rg0_pl1_alternating__167bbdcca44d,cyclic,6,300K_orthogonal800/row_0544__cyclic_orth800_uid000557_sk6_rg0_pl1_alternating__167bbdcca44d.data,369335,dffdaea2d6954826dec5a3996fb5bb8c9d776e726027d517ebe15b6727db5154,1077,1.2101430968414206e-14,-0.559974,1.294647
545,300,300K_orthogonal800,star_orth800_uid001185_sk10_rg0_pl1_random__c8885278f85d,star,10,300K_orthogonal800/row_0545__star_orth800_uid001185_sk10_rg0_pl1_random__c8885278f85d.data,376642,f6951988569985a9202e211fb86f2664c9cf20632ba9cb2690891731ca0d440e,1075,-3.58046925441613e-15,-0.457258,0.514628
546,300,300K_orthogonal800,linear_orth800_uid000351_sk1_rg1_pl1_random__9cbaeaac5d14,linear,1,300K_orthogonal800/row_0546__linear_orth800_uid000351_sk1_rg1_pl1_random__9cbaeaac5d14.data,370801,c01e0cf613bcaaa99abba39cc5eb46faa859b5302b047fbc06d5f282ecc66aee,1014,-4.996003610813204e-16,-1.157596,0.615526
547,300,300K_orthogonal800,cyclic_orth800_uid000517_sk6_rg2_pl1_block__101e7d5a7740,cyclic,6,300K_orthogonal800/row_0547__cyclic_orth800_uid000517_sk6_rg2_pl1_block__101e7d5a7740.data,370812,4256224acb6771ae312b376d12f22320faf114a54ba287f6a8520fcd7f853d80,1096,-5.523359547510154e-15,-1.145838,0.618385
548,300,300K_orthogonal800,star_orth800_uid001020_sk8_rg0_pl1_alternating__4551f14acd98,star,8,300K_orthogonal800/row_0548__star_orth800_uid001020_sk8_rg0_pl1_alternating__4551f14acd98.data,386473,7bb11a03f6ce74f60741290da1206eda178d07ddb71b338060bce25b2eb8c800,1052,5.856426454897701e-15,-0.465432,0.44483
549,300,300K_orthogonal800,cyclic_orth800_uid000580_sk6_rg1_pl0_alternating__67d7b43e559c,cyclic,6,300K_orthogonal800/row_0549__cyclic_orth800_uid000580_sk6_rg1_pl0_alternating__67d7b43e559c.data,328621,53ec995f1cf4a538f1a98ef33e4c2545a614ecf533972a57afbb31495005d23a,946,1.6653345369377348e-16,-0.439871,0.505463
550,300,300K_prod400,star_uid000072_idx67_rg0_pl0_junction_enriched__0e65f5944d4d,star,67,300K_prod400/row_0550__star_uid000072_idx67_rg0_pl0_junction_enriched__0e65f5944d4d.data,325536,878bd7f8e14ec85ea6ed781c48bca9d2073a33a716cf6c54a944de1d2eb37f4b,963,2.4799999930325e-06,-0.52237532,0.21504768
551,300,300K_prod400,star_uid000168_idx58_rg0_pl0_random__481c12e9ed06,star,58,300K_prod400/row_0551__star_uid000168_idx58_rg0_pl0_random__481c12e9ed06.data,322158,ad27c55444b12dcbd3dd719faea80101ce579953a5a176817a5c8d7904a2e933,953,2.1899999909646972e-06,-0.50354181,0.71549819
552,300,300K_orthogonal800,star_orth800_uid001071_sk11_rg1_pl0_alternating__95200b9d6b79,star,11,300K_orthogonal800/row_0552__star_orth800_uid001071_sk11_rg1_pl0_alternating__95200b9d6b79.data,335201,7842ba911bdc91dc218a629382646f09b6ad03c75400bae308eafc6bac8aa67e,977,5.551115123125783e-15,-0.444835,0.504123
553,300,300K_orthogonal800,branch_orth800_uid001399_sk19_rg2_pl0_block__792197e766da,branch,19,300K_orthogonal800/row_0553__branch_orth800_uid001399_sk19_rg2_pl0_block__792197e766da.data,357462,92019e78a67f63e8848d6299e70a860989484a77ebe6d474900d374a4b0b6aeb,972,1.582067810090848e-15,-0.5512,1.281755
554,300,300K_prod400,linear_uid000045_idx15_rg1_pl0_gradient__5a34e1a46c8e,linear,15,300K_prod400/row_0554__linear_uid000045_idx15_rg1_pl0_gradient__5a34e1a46c8e.data,321644,66776dd70a420939b446c9d233008ee80d5d8f9893a5a540ebb867fe00c8137d,926,1.1899999950160112e-06,-1.12596031,0.57750081
555,300,300K_orthogonal800,star_orth800_uid001275_sk13_rg1_pl2_random__d0ea74322f09,star,13,300K_orthogonal800/row_0555__star_orth800_uid001275_sk13_rg1_pl2_random__d0ea74322f09.data,316915,1c5d1795f730e02de41ddc3cce75c7f7440beb286cd0e3c8abfe127fe8b9b491,952,1.942890293094024e-16,-0.454263,0.452346
556,300,300K_orthogonal800,cyclic_orth800_uid000406_sk6_rg0_pl0_block__d17a138c4174,cyclic,6,300K_orthogonal800/row_0556__cyclic_orth800_uid000406_sk6_rg0_pl0_block__d17a138c4174.data,367970,5058dce74652cc0a991d701690b66a27cec17bc5d988c885d5dfafdbc5c8e021,1045,-2.7755575615628914e-17,-0.239176,0.180329
